FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
RECORD_HEADER,Generic record header,NA,NA,1,1,1,REC_HEAD,20,20,0,
GENERIC QUALITY INDICATORS,,,,,,,,,,20,
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation,NA,NA,1,1,1,boolean,1,1,20,
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation,NA,NA,1,1,1,boolean,1,1,21,
MEASUREMENT DATA,,,,,,,,,,22,
ATMOSPHERIC_TEMPERATURE,Temperature (for 120 IFOV with up to 90 vertical levels),2,K,NLT,120,1,u-integer2,2,21600,22,
ATMOSPHERIC_WATER_VAPOUR,Water vapour (for 120 IFOV with up to 90 vertical levels),6,kg/kg,NLQ,120,1,u-integer4,4,43200,21622,
ATMOSPHERIC_OZONE,Ozone (for 120 IFOV with up to 10 vertical layers),6,kg.m^-2,NLO,120,1,u-integer2,2,2400,64822,
INTEGRATED_OZONE,Integrated ozone (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,67222,
NUMBER_SURFACE_TEMPS ,Number of surface temperatures in IFOV ,0,NA,120,1,1,u-byte,1,120,67462,
SURFACE_TEMPERATURE,Surface temperature (for 120 IFOV and up to 2 temperatures),2,K,2,120,1,u-integer2,2,480,67582,
INTEGRATED_N2O,Integrated N20 (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,68062,
INTEGRATED_CO,Integrated CO (for 120 IFOV),7,kg.m^-2,120,1,1,u-integer2,2,240,68302,
INTEGRATED_CH4,Integrated CH4 (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,68542,
INTEGRATED_CO2,Integrated CO2 ( for 120 IFOV),3,kg.m^-2,120,1,1,u-integer2,2,240,68782,
SURFACE_EMISSIVITY,Surface emissivity (for 120 IFOV with up to 20 wavelengths),4,NA,NEW,120,1,u-integer2,2,4800,69022,
NUMBER_CLOUD_FORMATIONS,Number of cloud formations in IFOV,0,NA,120,1,1,u-byte,1,120,73822,
FRACTIONAL_CLOUD_COVER,Fractional cloud cover (for 120 IFOV with up to 3 cloud formations),2,%,3,120,1,u-integer2,2,720,73942,
CLOUD_TOP_TEMPERATURE,Cloud top temperature (for 120 IFOV with up to 3 cloud formations),2,K,3,120,1,u-integer2,2,720,74662,
CLOUD_TOP_PRESSURE,Cloud top pressure (for 120 IFOV with up to 3 cloud formations),0,Pa,3,120,1,u-integer4,4,1440,75382,
CLOUD_PHASE,"Cloud Phase (for 120 IFOV with up to 3 cloud formations) (0 = no cloud, 1 = liquid, 2 = ice, 3 = mixed)",0,NA,3,120,1,enumerated,1,360,76822,
SURFACE_PRESSURE,Surface pressure,0,Pa,120,1,1,u-integer4,4,480,77182,
INSTRUMENT ,,,,,,,,,,77662,
INSTRUMENT_MODE,Instrument mode. This is a copy of the MDR-1C flag GEPSIasiMode as defined in the IASI L1 PFS.,0,NA,1,1,1,enumerated,1,1,77662,
NAVIGATION DATA AT SCAN LINE,,,,,,,,,,77663,
TIME_ATTITUDE,Time Associated with Attitude Angles,0,s,1,1,1,u-integer4,4,4,77663,
ATITUDE_ANGLES,"Attitude Angles: Roll, Pitch, Yaw",3,deg,3,1,1,integer2,2,6,77667,
NAVIGATION_STATUS,Navigation Status Bit Field,NA,N/A,1,1,1,bitst(32),4,4,77673,
SPACECRAFT_ALTITUDE,Spacecraft Altitude Above Reference Geoid (MSL) ,1,km,1,1,1,u-integer4,4,4,77677,
NAVIGATION DATA AT IFOV,,,,,,,,,,77681,
ANGULAR_RELATION,"Angular relationships: solar zenith angle, satellite zenith angle, solar azimuth angle, satellite azimuth angle for 120 IFOV ",2,deg,4,120,1,integer2,2,960,77681,
EARTH_LOCATION,"Earth Location: latitude, longitude of surface footprint (for 120 IFOV)",4,deg,2,120,1,integer4,4,960,78641,
PROCESSING AND QUALITY FLAGS,,,,,,,,,,79601,
FLG_ATOVCLR,Cloud flag for ATOVS products,NA,NA,120,1,1,bitst(8),1,120,79601,
FLG_ATOVCMP,Completness of ATOVS products,NA,NA,120,1,1,bitst(8),1,120,79721,
FLG_ATOVINT,Interpolation of ATOVS to IASI,NA,NA,120,1,1,bitst(24),3,360,79841,
FLG_AVHAVL,Completness flag for AVHRR products,NA,NA,120,1,1,enumerated,1,120,80201,
FLG_AVHBAD,Validation flag for AVHRR products,NA,NA,120,1,1,bitst(8),1,120,80321,
FLG_CHNSEL,Channel selection,NA,NA,120,1,1,enumerated,1,120,80441,
FLG_CLDAVH,Number of cloud formations anaylsed in AVHRR,NA,NA,120,1,1,enumerated,1,120,80561,
FLG_CLDFRM,Number of cloud formations and origin of height assignment,NA,NA,120,1,1,bitst(16),2,240,80681,
FLG_CLDPHA,Cloud Phase,NA,NA,120,1,1,enumerated,1,120,80921,
FLG_CLDSUM,Summary indicating which instruments see clouds,NA,NA,120,1,1,bitst(16),2,240,81041,
FLG_CLDTST,Cloud tests that are executed,NA,NA,120,1,1,bitst(8),1,120,81281,
FLG_DAYNIT,Discrimination between day and night,NA,NA,120,1,1,enumerated,1,120,81401,
FLG_FGCHECK,Check whether first guess retrievals passed to iterative retrieval,NA,NA,120,1,1,bitst(16),2,240,81521,
FLG_FINCHC,Final choice of retrieval,NA,NA,120,1,1,bitst(32),4,480,81761,
FLG_FRCSEL,Selection of fractional cloud cover from IASI/ATOVS or AVHRR,NA,NA,120,1,1,bitst(8),1,120,82241,
FLG_IASIBAD,Validation flag for IASI Level 1 product,NA,NA,120,1,1,bitst(16),2,240,82361,
FLG_IASICLD,Results of cloud test,NA,NA,120,1,1,bitst(8),1,120,82601,
FLG_IASICLR,"IASI IFOV clear, partly cloudy or cloudy",NA,NA,120,1,1,enumerated,1,120,82721,
FLG_INITIA,Retrieval initialisation,NA,NA,120,1,1,bitst(8),1,120,82841,
FLG_ITCONV,Convergence of the iterative retrieval,NA,NA,120,1,1,enumerated,1,120,82961,
FLG_ITRBOU,Validation of iterated state vector,NA,NA,120,1,1,enumerated,1,120,83081,
FLG_LANSEA,Specifies surface type,NA,NA,120,1,1,enumerated,1,120,83201,
FLG_NUMIT,Number of iterations used for retrieval,0,NA,120,1,1,u-byte,1,120,83321,
FLG_NWPBAD,Validation flag of NWP forecast,NA,NA,120,1,1,enumerated,1,120,83441,
FLG_QUAL,Quality and completness of the retrieval,NA,NA,120,1,1,enumerated,1,120,83561,
FLG_RESID,Retrieval residual acceptance flag,NA,NA,120,1,1,enumerated,1,120,83681,
FLG_RETBOU,Identification of out-of-bounds state vector elements,NA,NA,120,1,1,bitst(256),32,3840,83801,
FLG_RETCHC,Choice of combined or IASI stand alone retrieval,NA,NA,120,1,1,bitst(8),1,120,87641,
FLG_SATMAN,Indication of satellite manouevre,NA,NA,120,1,1,enumerated,1,120,87761,
FLG_SELBAC,Selection of background state,NA,NA,120,1,1,enumerated,1,120,87881,
FLG_SFCAVH,Indication of AVHRR derived surface temperature,NA,NA,120,1,1,bitst(8),1,120,88001,
FLG_SFCTOP,Validation flag for surface type and topography,NA,NA,120,1,1,bitst(8),1,120,88121,
FLG_SUNGLNT,Identification of sun glint,NA,NA,120,1,1,enumerated,1,120,88241,
FLG_SUPADI,Indication of super-adiabatic conditions in final retrieval,NA,NA,120,1,1,enumerated,1,120,88361,
FLG_SUPSAT,Indication of super-saturation  in final retrieval,NA,NA,120,1,1,enumerated,1,120,88481,
FLG_THICIR,Thin cirrus cloud test,NA,NA,120,1,1,enumerated,1,120,88601,
FLG_THICOR,Thin cirrus has been corrected for,NA,NA,120,1,1,enumerated,1,120,88721,
FLG_VARCLR,Cloud clearing by variational analysis,NA,NA,120,1,1,enumerated,1,120,88841,
FLG__STER,Representation of retrieval errors. Determines type of data in MDR.ERROR_DATA.,0,,1,1,1,enumerated,1,1,88961,
DATA_SIZES,"Two sizing values for data stored in ERROR_DATA field. Meaning of sizes depends on the FLG_STER [M, N]",,,2,120,1,u-integer2,2,480,88962,
ERROR_DATA,,,,,,,,,,89442,
,,,,,,,,,,,
SIZE OF THE RECORD,,,,,,,,,,VARIABLE,
